WmoStationNumber,StationNameThai,StationNameEnglish,Province,Latitude,Longitude,DateTime,MeanSeaLevelPressure(mb),Temperature(celcius),MaxTemperature(celcius),DifferentFromMaxTemperature(celcius),MinTemperature(celcius),DifferentFromMinTemperature(celcius),RelativeHumidity(%),WindDirection(degree),WindSpeed(km/h),Rainfall(mm)
48479,ห้วยโป่ง สกษ.,HUAI PONG AGROMET.,ระยอง,12.735,101.135,2025-06-11 07:00:00,1005.14,28.0,33.5,0.9,27.5,0.8,81,240.0,3.0,0.0
48480,จันทบุรี,CHANTHA BURI,จันทบุรี,12.61667,102.11333,2025-06-11 07:00:00,1005.47,26.9,32.5,1.2,25.0,-2.4,94,0.0,0.0,55.7
48481,พลิ้ว สกษ.,PHLIU  AGROMET.,จันทบุรี,12.50861,102.17305,2025-06-11 07:00:00,1005.59,25.0,31.8,0.8,24.5,-1.0,97,220.0,2.0,36.0
48500,ประจวบคีรีขันธ์,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,11.83333,99.83333,2025-06-11 07:00:00,1006.0,27.2,32.8,-2.3,26.4,-0.3,77,270.0,6.0,0.0
48475,หัวหิน,HUA HIN,ประจวบคีรีขันธ์,12.58611,99.9625,2025-06-11 07:00:00,1006.18,27.8,35.4,-1.4,27.3,0.1,79,180.0,2.0,0.0
48474,หนองพลับ สกษ.,NONG PHLUB AGROMET.,ประจวบคีรีขันธ์,12.58333,99.73333,2025-06-11 07:00:00,1006.3,25.5,33.5,-4.0,25.0,0.4,88,0.0,0.0,0.0
48501,ตราด,TRAD,ตราด,11.76667,102.88333,2025-06-11 07:00:00,1005.88,26.3,32.2,1.6,25.5,0.4,93,320.0,8.0,21.9
48517,ชุมพร,CHUMPHON,ชุมพร,10.49875,99.18847,2025-06-11 07:00:00,1005.94,26.4,32.1,-0.2,26.2,1.2,92,0.0,0.0,11.3
48520,สวี สกษ.,SAWI AGROMET.,ชุมพร,10.33333,99.1,2025-06-11 07:00:00,1005.99,27.1,32.8,0.5,26.4,2.3,88,0.0,0.0,2.2
48532,ระนอง,RANONG,ระนอง,9.98333,98.61667,2025-06-11 07:00:00,1007.01,27.3,29.4,-1.6,26.0,2.1,86,200.0,4.0,21.5
48551,สุราษฎร์ธานี,SURAT THANI,สุราษฎร์ธานี,9.13556,99.15194,2025-06-11 07:00:00,1007.64,24.5,32.0,-2.3,24.5,0.3,95,0.0,0.0,0.0
